title,year,name,type,character,n
Sordid Lives,2000,Newell Alexander,actor,Wardell 'Bubba' Owens,4
Southern Baptist Sissies,2013,Newell Alexander,actor,Preacher,7
The Family Tree,2011,Newell Alexander,actor,Dr. Lieberman,12
The Gingerdead Man,2005,Newell Alexander,actor,James Leigh,
The Gundown,2011,Newell Alexander,actor,Sheriff Deets,8
The Incredible Melting Man,1977,Newell Alexander,actor,Steve West,23
The Kentucky Fried Movie,1977,Newell Alexander,actor,"The Firechief (segment ""That's Armageddon"")",33
The Slayer,1982,Newell Alexander,actor,Kay's Father,8
The Stray,2000,Newell Alexander,actor,Chief James,14
Tom and Huck,1995,Newell Alexander,actor,Search Party,24
Tonari no Totoro,1988,Newell Alexander,actor,Additional Voices (2005 Disney version),
Zandalee,1991,Newell Alexander,actor,Allen Calhoun,11
The Reason for Jim Season,2016,Nic (IV) Alexander,actor,Jim,1
Canvas,2006,Nicholas (II) Alexander,actor,Student,
Fist Fight,2017,Nicholas (II) Alexander,actor,Blake,12
I Love You Phillip Morris,2009,Nicholas (II) Alexander,actor,Steven's 11-Year-Old Brother,30
Scapegoat,2013,Nicholas (II) Alexander,actor,Young David Sherman,
The Becoming,2012,Nicholas (II) Alexander,actor,Michael,
Tempting Fate,2014,Nicholas (VI) Alexander,actor,Blake,
The Remedy,2013,Nicholas (VI) Alexander,actor,Pimpy Jones,
The Bandit Hound,2016,Nicholas (VIII) Alexander,actor,Owen,1
Fugazi,2016,Nicholas (XI) Alexander,actor,Anvil,
1990: I guerrieri del Bronx,1982,Nick Alexander,actor,Hawk,
Afyon oppio,1972,Nick Alexander,actor,Capo,
Amarcord,1973,Nick Alexander,actor,Teo,
Amarcord,1973,Nick Alexander,actor,Walla,
Apocalypse domani,1980,Nick Alexander,actor,Lt. Hill,
Assassinio al cimitero etrusco,1982,Nick Alexander,actor,Nick Forte,
Autostop rosso sangue,1977,Nick Alexander,actor,Highway Patrolman #1,
Avere vent'anni,1978,Nick Alexander,actor,Curly,
Chi trova un amico trova un tesoro,1981,Nick Alexander,actor,Hood,
Chi trova un amico trova un tesoro,1981,Nick Alexander,actor,Pirate,
Contamination,1980,Nick Alexander,actor,Harbor Authority,
Cop Game,1988,Nick Alexander,actor,Skipper,
Da Corleone a Brooklyn,1979,Nick Alexander,actor,Scalia,
Da Corleone a Brooklyn,1979,Nick Alexander,actor,Vito,
Diao shou guai zhao,1973,Nick Alexander,actor,Fosterfather,
Giornata nera per l'ariete,1971,Nick Alexander,actor,Radio Newscaster,
I guerrieri dell'anno 2072,1984,Nick Alexander,actor,Kirk,
I predatori di Atlantide,1983,Nick Alexander,actor,Bill Cook,
Il burattinaio,1994,Nick Alexander,actor,Cop,
Il cacciatore di squali,1979,Nick Alexander,actor,Il killer,
"Il cinico, l'infame, il violento",1977,Nick Alexander,actor,Dario,
Il cittadino si ribella,1974,Nick Alexander,actor,Ringleader,
Il grande racket,1976,Nick Alexander,actor,Collector,
Il mondo di Yor,1983,Nick Alexander,actor,Blond Rebel Who Helps Pag and Ka-Laa,
Il trucido e lo sbirro,1976,Nick Alexander,actor,Sarti's Assistant,
Indio 2 - La rivolta,1991,Nick Alexander,actor,Chopper Pilot,
Keoma,1976,Nick Alexander,actor,Butch Shannon,
L'isola degli uomini pesce,1979,Nick Alexander,actor,Prisoner,
L'ultimo squalo,1981,Nick Alexander,actor,Matt Rosen,
La belva col mitra,1977,Nick Alexander,actor,Kidnapped Guard,
La leggenda del Titanic,1999,Nick Alexander,actor,Duke of Camden,
La polizia chiede aiuto,1974,Nick Alexander,actor,TV Announcer,
La polizia chiede aiuto,1974,Nick Alexander,actor,Killer,
La polizia incrimina la legge assolve,1973,Nick Alexander,actor,Scavino's Assassin,
La ragazza del vagone letto,1980,Nick Alexander,actor,The Conductor,
Liberi armati pericolosi,1976,Nick Alexander,actor,Barn Owner,
Mannaja,1977,Nick Alexander,actor,Dahlman,
Mil gritos tiene la noche,1982,Nick Alexander,actor,Cop #1,
Napoli violenta,1976,Nick Alexander,actor,Policeman at Dock,
Nude per l'assassino,1975,Nick Alexander,actor,Cop,
Nude per l'assassino,1975,Nick Alexander,actor,Pal,
Phenomena,1985,Nick Alexander,actor,Real Estate Agent,
Poliziotto senza paura,1978,Nick Alexander,actor,Shorty,
Profondo rosso,1975,Nick Alexander,actor,Newscaster,
Quel maledetto treno blindato,1978,Nick Alexander,actor,Examination Corporal,
Speed Driver,1980,Nick Alexander,actor,Dave,
Un poliziotto scomodo,1978,Nick Alexander,actor,Clerk,
Zombi 2,1979,Nick Alexander,actor,Brian Hull,
Extinction: The G.M.O. Chronicles,2011,Nick (IX) Alexander,actor,Bunker Scientist,22
Maria My Love,2011,Nick (V) Alexander,actor,Tattoo Artist,
Dorchester's Revenge: The Return of Crinoline Head,2014,Nick (XIX) Alexander,actor,Scott Sawyer,
The Haunting of Four Points,2017,Nick (XIX) Alexander,actor,Dylan,8
Pinko's Place,2007,Nicolas (II) Alexander,actor,Basketball Punk 1,
A Green Story,2012,Niko Alexander,actor,Costa,32
Jessica Darling's It List,2016,Niko Alexander,actor,Scotty,17
East L.A.,2008,Nikolas Alexander,actor,Ben,
Bright Star,2009,Olly Alexander,actor,Tom Keats,15
Cheerful Weather for the Wedding,2012,Olly Alexander,actor,Tom,13
Dust (II),2009,Olly Alexander,actor,Elias,2
Enter the Void,2009,Olly Alexander,actor,Victor,4
Funny Bunny,2015,Olly Alexander,actor,Titty,1
God Help the Girl,2014,Olly Alexander,actor,James,2
Great Expectations,2012,Olly Alexander,actor,Herbert Pocket,25
Gulliver's Travels,2010,Olly Alexander,actor,Prince August,11
Le Week-End,2013,Olly Alexander,actor,Michael,23
The Dish & the Spoon,2011,Olly Alexander,actor,Boy,2
The Riot Club,2014,Olly Alexander,actor,Toby,20
Tormented,2009,Olly Alexander,actor,Jason Banks,8
Apa artinya cinta?,2005,Onky Alexander,actor,Papa Aliza,5
Catatan (Harian) si Boy,2011,Onky Alexander,actor,Boy,
Catatan si boy 2,1988,Onky Alexander,actor,Boy,1
Catatan si boy 3,1990,Onky Alexander,actor,Boy,
Catatan si boy 5,1991,Onky Alexander,actor,Boy,1
Catatan si Emon,1991,Onky Alexander,actor,Boy,2
Taksi 2,1991,Onky Alexander,actor,Raymond,4
Baseline,2010,Oscar Alexander,actor,OD Kid,41
Aliki My Love,1963,Paris Alexander,actor,Pastrudis,5
Amfivolies,1964,Paris Alexander,actor,Antonis Koronelos,3
Erotes sti Lesvo,1967,Paris Alexander,actor,Jimmy Anthony,1
Gefsi apo erota,1966,Paris Alexander,actor,Aleck,2
I nyfi toskase,1962,Paris Alexander,actor,Dimitris,5
It Happened in Athens,1962,Paris Alexander,actor,Nico Loues,20
O 13os,1967,Paris Alexander,actor,Dimitris Boumas,3
"Ohi, ...kyrie Johnson",1965,Paris Alexander,actor,John Johnson,2
The Day the Fish Came Out,1967,Paris Alexander,actor,Fred,9
Capps Crossing,2016,Parker Alexander,actor,Justin,
The Creator's Game,1999,Patrick (III) Alexander,actor,Officer James,30
Anaphylaxis,2010,Patrick (X) Alexander,actor,Waiter,
Hotspot,2013,Patrick (X) Alexander,actor,Jeremy Parker,2
The Look of Love,2013,Patrick (X) Alexander,actor,60's Camera Operator,
8 Seconds,1994,Paul Alexander,actor,TV Reporter,20
Lucky Stiff,1988,Paul Alexander,actor,Postal Worker #1,28
Police Rescue,1994,Paul Alexander,actor,Negotiator,
Schizo,1976,Paul Alexander,actor,Peter McAllister,8
Talk,1994,Paul Alexander,actor,Man in Sportscar,17
War Horse,2011,Paul (IV) Alexander,actor,Dave Hill,52
Elvis and Anabelle,2007,Paul (XIII) Alexander,actor,TV Reporter #3,12
Space Pimp,2008,Paul (XXVI) Alexander,actor,Remus,
The Shadow Sea,2014,Paul J. Alexander,actor,The Enforcer,
Cabras,2009,Percy Alexander,actor,Cabras,
YaDaDa Movie,2006,Percy Alexander,actor,The Popo,1
Das Nachtlokal zum Silbermond,1959,Pero Alexander,actor,Jussuf,3
Einmal kehr' ich wieder,1953,Pero Alexander,actor,Graf Pero Monti,4
Hohe Tannen,1960,Pero Alexander,actor,Theo Weigand,2
Treibjagd auf ein Leben,1961,Pero Alexander,actor,"Thomas Marek, Manager",4
"Vater, Mutter und neun Kinder",1958,Pero Alexander,actor,Klaus F?rbringer,8
Wenn der Vater mit dem Sohne,1955,Pero Alexander,actor,Donald Crossman,8
Wetterleuchten am Dachstein,1953,Pero Alexander,actor,"Hannes Kh?ls von Kh?lsberg, Gro?knecht",4
Bonjour Kathrin,1956,Peter Alexander,actor,Pierre,2
Charleys Tante,1963,Peter Alexander,actor,Dr. Otto Wilder,1
Das haut hin,1957,Peter Alexander,actor,"Toni Matthis, Student der Zoologie",1
Das Liebeskarussell,1965,Peter Alexander,actor,Peter Sommer,14
Der Engel mit der Posaune,1948,Peter Alexander,actor,Gast bei Frau Stein,
Der Musterknabe,1963,Peter Alexander,actor,Dr. Fritz Geyer,1
Die Abenteuer des Grafen Bobby,1961,Peter Alexander,actor,Graf Bobby von Pinelski,1
Die Beine von Dolores,1957,Peter Alexander,actor,Singer,
Die Fledermaus,1962,Peter Alexander,actor,Dr. Gabriel Eisenstein,1
"Drei, von denen man spricht",1953,Peter Alexander,actor,Singer,
"Graf Bobby, der Schrecken des wilden Westens",1966,Peter Alexander,actor,Graf Bobby von Pichulsky,1
Hauptsache Ferien,1972,Peter Alexander,actor,Dr. Peter Markus,1
"Hilfe, meine Braut klaut",1964,Peter Alexander,actor,Valentin Haase,1
Ich bin kein Casanova,1959,Peter Alexander,actor,Peter Keller,1
Kriminaltango,1960,Peter Alexander,actor,Peter Martens,1
"Liebe, Tanz und 1000 Schlager",1955,Peter Alexander,actor,Peter Alexander,2
Musikparade,1956,Peter Alexander,actor,Peter,1
Peter schiesst den Vogel ab,1959,Peter Alexander,actor,Peter Schatz,1
Saison in Salzburg,1961,Peter Alexander,actor,Heinz Doll,1
Salem Aleikum,1959,Peter Alexander,actor,Peter Karmann,1
Salto Mortale,1953,Peter Alexander,actor,Singer,
Schlag auf Schlag,1959,Peter Alexander,actor,Hugo Bartels,1
Schwejk's Flegeljahre,1964,Peter Alexander,actor,Josef Schwejk,1
Verliebte Leute,1954,Peter Alexander,actor,"Karl Munk, Musiker",3
Verlorene Melodie,1952,Peter Alexander,actor,Pianist,16
"Wehe, wenn sie losgelassen",1958,Peter Alexander,actor,Peter Holunder,1
Color of a Brisk and Leaping Day,1996,Peter (III) Alexander,actor,John,1
Eight Days a Week,1997,Peter (III) Alexander,actor,Neighborhood Kid,57
Nowhere,1997,Peter (III) Alexander,actor,Drunk Skinhead,47
Seamless: Kidz Rule,1999,Peter (III) Alexander,actor,Zink,3
Strange Holiday,1970,Peter (IV) Alexander,actor,Garnett,7
The Man Who Loved Women,1983,Philip Alexander,actor,David at 12,27
Trenchcoat,1983,Philip Alexander,actor,Child,21
Killing the Badge,1999,Phillip Alexander,actor,Bodyguard,3
"The Samurai of Strongsville, Ohio",2010,Phillip (III) Alexander,actor,Ogre,
"The Samurai of Strongsville, Ohio",2010,Phillip (III) Alexander,actor,Demon,
A Most Violent Year,2014,Pico Alexander,actor,Elias Morales,39
Fan Girl,2015,Pico Alexander,actor,Charlie,3
Indignation,2016,Pico Alexander,actor,Sonny Cottler,
War Machine,2017,Pico Alexander,actor,Trey,
Shadows of Love,2012,Quenton Alexander,actor,Kevin,
Mystery Lake,1953,R.P. Alexander,actor,Uncle Tobe,
Yo soy la Juani,2006,Rafael Alexander,actor,Reaggetones,55
Confusion 2: Betrayal,2016,Rayquaun Alexander,actor,Eshu,
If I Had Known I Was a Genius,2007,Reed Alexander,actor,Gifted kid #1,
Badge of Honor,2015,Reese Alexander,actor,Husband,17
Bailout: The Age of Greed,2013,Reese Alexander,actor,Broker,38
Blood Brothers: Reign of Terror,2007,Reese Alexander,actor,Male Officer,25
Courage,2009,Reese Alexander,actor,Helmsman,14
Damage,2009,Reese Alexander,actor,EMT,16
Dead Rising,2015,Reese Alexander,actor,Shearson,10
Diary of a Wimpy Kid: Dog Days,2012,Reese Alexander,actor,Cop,30
Extraterrestrial,2014,Reese Alexander,actor,Military Officer,14
Far Cry,2008,Reese Alexander,actor,Private Jackson,22
Fifty Shades of Grey,2015,Reese Alexander,actor,Elevator Businessman,27
Grave Encounters 2,2012,Reese Alexander,actor,LA Police Officer,44
Hardwired,2009,Reese Alexander,actor,Hope Trooper,21
Horns,2013,Reese Alexander,actor,TV Reporter,20
Ice Blues,2008,Reese Alexander,actor,Police Officer,19
In the Name of the King: Two Worlds,2011,Reese Alexander,actor,Soldier #3,15
Into the Grizzly Maze,2015,Reese Alexander,actor,Gerry Smith,9
Life on the Line,2015,Reese Alexander,actor,Russell,9
Max 2: White House Hero,2017,Reese Alexander,actor,Agent Harring,
No Clue,2013,Reese Alexander,actor,Officer #1,
Postal,2007,Reese Alexander,actor,Police Officer,43
See No Evil 2,2014,Reese Alexander,actor,EMT #1,9
Stoic,2009,Reese Alexander,actor,Guard #1,5
The Day the Earth Stood Still,2008,Reese Alexander,actor,Sergeant,26
The Gutter Diaries,2006,Reese Alexander,actor,Jiggy Ray Vaughn,
The Interview (II),2014,Reese Alexander,actor,Agent Botwin,7
The Valley of the Rats,2016,Reese Alexander,actor,Driver,
The Zero Sum,2009,Reese Alexander,actor,Male Diner,24
Zero Hour,2007,Reese Alexander,actor,Goon 2,14
A Week in London,2016,Reeve Alexander,actor,Tony,31
Roll Call,2011,Rene' Alexander,actor,Gardener #2,
Ciao America,2002,Reynold 'Rene' Alexander,actor,Referee,
Stiffs,2010,Reynold 'Rene' Alexander,actor,Ernie,15
Bi xie lan tian,1998,Ricardo Alexander,actor,Prisoner,
Do san 3: Chi siu nin do san,1996,Ricardo Alexander,actor,Bodyguard,
Grand Piano,2013,Ricardo Alexander,actor,Executive,14
Gwan geun see dam,1998,Ricardo Alexander,actor,Mob Fighter,
Hak hap,1996,Ricardo Alexander,actor,701 Squad Member,
Te jing xin ren lei 2,2000,Ricardo Alexander,actor,Fighter,
Tin dei hung sam,1997,Ricardo Alexander,actor,Soldier in church,
Waan ying dak gung,1998,Ricardo Alexander,actor,Henchman,
Wan quan cui hua sho ce,1997,Ricardo Alexander,actor,Passport dealer,
Wan quan jie hun shou ce,1997,Ricardo Alexander,actor,Best man,
Yung po giu yeung,1997,Ricardo Alexander,actor,Auctioneer,
36 Hours,1964,Richard Alexander,actor,Man Paying Respects,
A Big Hand for the Little Lady,1966,Richard Alexander,actor,Barfly,
A Connecticut Yankee,1931,Richard Alexander,actor,Sagramor's Knight,
A House Divided,1931,Richard Alexander,actor,Sailor,
A Perilous Journey,1953,Richard Alexander,actor,Crying Miner,
A Southern Yankee,1948,Richard Alexander,actor,Bartender,
A Tale of Two Cities,1935,Richard Alexander,actor,Executioner,
Across the Badlands,1950,Richard Alexander,actor,Burly Tough Guy,
Ada,1961,Richard Alexander,actor,Member of the State Legislature,
Ali Baba and the Forty Thieves,1944,Richard Alexander,actor,Mongol Guard,
Alias Jesse James,1959,Richard Alexander,actor,Jeremiah Cole,
All Quiet on the Western Front,1930,Richard Alexander,actor,Westhus,11
Annie Laurie,1927,Richard Alexander,actor,One of the MacDonalds,
Annie Oakley,1935,Richard Alexander,actor,Crown Prince Wilhelm,
Arch of Triumph,1948,Richard Alexander,actor,Gestapo Agent,
Are You There?,1930,Richard Alexander,actor,International crook,9
Babes in Toyland,1934,Richard Alexander,actor,King's Guard,
Badlands of Dakota,1941,Richard Alexander,actor,Coach Driver with Rifle,
Below the Sea,1933,Richard Alexander,actor,Sailor,
Bengal Tiger,1936,Richard Alexander,actor,Strong Man,
Big Jack,1949,Richard Alexander,actor,Bandit,
Born to Battle,1935,Richard Alexander,actor,Nate,7
Boss of Boomtown,1944,Richard Alexander,actor,The Yuma Kid,11
Boss of Bullion City,1940,Richard Alexander,actor,Steve Hogan,7
Boston Blackie's Rendezvous,1945,Richard Alexander,actor,1st Bruiser,
Broadway Limited,1941,Richard Alexander,actor,Would-Be Kidnapper,
Broken Lance,1954,Richard Alexander,actor,Extra Outside Courtroom,
Brown of Harvard,1926,Richard Alexander,actor,Football Fan,
Buchanan Rides Alone,1958,Richard Alexander,actor,Barfly,
Bud Abbott and Lou Costello in Hollywood,1945,Richard Alexander,actor,Eddie,
Burma Convoy,1941,Richard Alexander,actor,Truck Driver in Bar,
Call of the South Seas,1944,Richard Alexander,actor,Bailey,10
Canadian Pacific,1949,Richard Alexander,actor,Railroad Worker,
Canyon Passage,1946,Richard Alexander,actor,Miner,
Captain Fury,1939,Richard Alexander,actor,Guard,24
Cargo to Capetown,1950,Richard Alexander,actor,Deck Crewman,
Charlie Chan in Honolulu,1938,Richard Alexander,actor,Crewman,
Chasing Danger,1939,Richard Alexander,actor,Warrior,
City Girl,1930,Richard Alexander,actor,Mac,7
Cleopatra,1934,Richard Alexander,actor,General Philodemas,22
Code of the Outlaw,1942,Richard Alexander,actor,Morgan - Horse Buyer,
"Cole Younger, Gunfighter",1958,Richard Alexander,actor,Barfly,
Copper Canyon,1950,Richard Alexander,actor,Excited Townsman,
Covered Wagon Days,1940,Richard Alexander,actor,Border Guard,
Cowboy Holiday,1934,Richard Alexander,actor,Deputy Walt Gregor,4
Coyote Trails,1935,Richard Alexander,actor,Mack Larkin,5
Cyclone Fury,1951,Richard Alexander,actor,Henchman in Johnny's Hotel Room,
Dangerous Waters,1936,Richard Alexander,actor,Hays,11
Dangerous When Wet,1953,Richard Alexander,actor,Egyptian Channel swimmer,13
Daring Danger,1932,Richard Alexander,actor,Bull Bagley,5
Dark Command,1940,Richard Alexander,actor,Phil - Guerrilla Guarding Seton,
Day of the Badman,1958,Richard Alexander,actor,Townsman,
Death Rides the Range,1939,Richard Alexander,actor,Big Nick Harden,
Destination Unknown,1933,Richard Alexander,actor,Alex,12
Destry Rides Again,1939,Richard Alexander,actor,Cowboy,
Diplomaniacs,1933,Richard Alexander,actor,Bouncer,
Dirigible,1931,Richard Alexander,actor,Radio Operator,
Disbarred,1939,Richard Alexander,actor,Counterman,
Double Trouble,1941,Richard Alexander,actor,Seaman,11
Drift Fence,1936,Richard Alexander,actor,Henchman Seth Haverly,11
Du Barry Was a Lady,1943,Richard Alexander,actor,Marching Rebel Behind King Louis,
Everyman's Law,1936,Richard Alexander,actor,Barber,8
False Paradise,1948,Richard Alexander,actor,Sam,10
Father of the Bride,1950,Richard Alexander,actor,Moving Man with Screen,
Feud of the Trail,1937,Richard Alexander,actor,Holcomb Brother,5
Fighting Shadows,1935,Richard Alexander,actor,Bull Maddigan,
Flaming Bullets,1945,Richard Alexander,actor,Dick,
Flaming Gold,1932,Richard Alexander,actor,Truck Driver in Cantina,
Flash Gordon,1936,Richard Alexander,actor,Prince Barin [Chs. 5-13,6
Flash Gordon (II),1936,Richard Alexander,actor,Prince Barin,6
Flash Gordon's Trip to Mars,1938,Richard Alexander,actor,Prince Barin [Chs. 6-15,8
Flesh and the Spur,1956,Richard Alexander,actor,Bartender,
Flying Fists,1937,Richard Alexander,actor,Fritz,
Flying G-Men,1939,Richard Alexander,actor,Sam Blaine,
Follow the Fleet,1936,Richard Alexander,actor,Paradise Ballroom Waiter,
Freckles,1935,Richard Alexander,actor,Butch,8
Frontier Marshal,1939,Richard Alexander,actor,Curly Bill's Henchman,
George White's Scandals,1934,Richard Alexander,actor,Iceman,25
Gunsmoke Mesa,1944,Richard Alexander,actor,Henchman Lear,8
Hangmen Also Die!,1943,Richard Alexander,actor,Slugger in Theater,
Heaven Only Knows,1947,Richard Alexander,actor,One of Byron's Gunmen,
Hellfire,1949,Richard Alexander,actor,Blacksmith,
Heroes of the West,1932,Richard Alexander,actor,Frontiersman at Beginning of Each Episode,
His Brother's Ghost,1945,Richard Alexander,actor,Henchman,
Hurricane Horseman,1931,Richard Alexander,actor,Henchman Bull Carter,5
I Dream of Jeanie,1952,Richard Alexander,actor,Cop,
I Was a Criminal,1945,Richard Alexander,actor,1st Passport Official,17
In Old California,1942,Richard Alexander,actor,Clem - Dawson's Henchman,
In the Navy,1941,Richard Alexander,actor,Big Bruiser,
Inside Straight,1951,Richard Alexander,actor,Asst. Foreman,
Is Everybody Happy?,1943,Richard Alexander,actor,Audience Member Punching Jerry,
Jesse James Rides Again,1947,Richard Alexander,actor,Clem,
Joan of Arc,1948,Richard Alexander,actor,Man on Boulevard,
Joy of Living,1938,Richard Alexander,actor,Angry Man in Revolving Door,
Jungle Jim,1937,Richard Alexander,actor,Seaman crying Man Overboard (chapter one),
Keep Smiling (II),1938,Richard Alexander,actor,"Pete, Grip",
Kentucky Kernels,1934,Richard Alexander,actor,Hank Wakefield,12
King of the Carnival,1955,Richard Alexander,actor,Tent Worker 2,
King of the Cowboys,1943,Richard Alexander,actor,Joe the Prop Man,
Klondike Kate,1943,Richard Alexander,actor,Bill,
Lady in a Jam,1942,Richard Alexander,actor,Fighter - Long White Beard,
Laughter in Hell,1933,Richard Alexander,actor,Construction Boss,
Law and Order,1932,Richard Alexander,actor,Kurt Northrup,7
Les Girls,1957,Richard Alexander,actor,Stagehand,
Loaded Pistols,1948,Richard Alexander,actor,Big Balding Man at Dance,
